directors,rate,title,casts,detailLink,year,types,country,lang,time,moveiTime,comment_len,starts,summary,imgList,movieUrl
辛爽,9.4,漫长的季节,"范伟,秦昊,陈明昊,李庚希,刘奕铁",https://movie.douban.com/subject/35588177/,2023,"剧情,家庭,犯罪", 中国大陆, 汉语普通话,2023-04-22,51,241893,"73.8%,22.1%,3.5%,0.4%,0.2%",小城桦林，此时，出租司机王响（范伟 饰）做梦也没想到，他还有机会遇到一个他此生最想遇到，又最怕遇到的人。是仇人还是故人？遇到了，就得有交代，给自己，也给儿子。,"https://img1.doubanio.com/view/photo/sqxs/public/p2891123409.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2891390696.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2891040644.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891390680.jpg",https://vt1.doubanio.com/202305231423/0d469e053a87311b1b89407f76bd2b10/view/movie/M/403030587.mp4
詹姆斯·古恩,8.5,银河护卫队3,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,凯伦·吉兰,庞·克莱门捷夫",https://movie.douban.com/subject/26258779/,2023,"喜剧,动作,科幻,惊悚,冒险", 美国, 英语,2023-05-05,150,123379,"40.7%,43.2%,14.4%,1.4%,0.3%",影片承接前作，银河护卫队成员们已经在虚无知地上安顿了下来。然而，由于火箭浣熊（布莱德利·库珀 Bradley Cooper 配音）的动荡往事的侵扰，他们的生活很快被打破。“星爵”彼得·奎尔（克里斯·帕拉特 Chris Pratt 饰）依然迷失在失去卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）的痛苦中，但是他必须团结起他的团队，前往执行一项危险的任务，只为营救火箭浣熊。如果这项任务失败，那么为人熟知的银河护卫队有可能就此走向终结。,"https://img1.doubanio.com/view/photo/sqxs/public/p2891629110.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891320598.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891320589.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2890176896.jpg",https://vt1.doubanio.com/202305231423/31dd0a179829635f19f7188a658ef40f/view/movie/M/403020126.mp4
大鹏,7.7,保你平安,"大鹏,李雪琴,尹正,王迅,王圣迪",https://movie.douban.com/subject/35457272/,2022,"剧情,喜剧", 中国大陆, 汉语普通话,2023-03-10,112,110362,"20.7%,49.9%,25.7%,3.0%,0.8%",落魄中年魏平安（大鹏 饰）以直播带货卖墓地为生，他的客户韩露（宋茜 饰）过世后被造谣抹黑，魏平安路见不平，辟谣跑断腿，笑料频出，反转不断，而他自己也因此陷入到新的谣言和网暴之中。,"https://img1.doubanio.com/view/photo/sqxs/public/p2888739287.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2869089432.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2888305063.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2885129501.jpg",https://vt1.doubanio.com/202305231423/997a2b2d9b0cf8bc290c077a0116d2d8/view/movie/M/403010568.mp4
孔大山,8.1,宇宙探索编辑部,"杨皓宇,艾丽娅,王一通,蒋奇明,盛晨晨",https://movie.douban.com/subject/34941536/,2021,"喜剧,科幻", 中国大陆, 汉语普通话,2023-04-01,118,165652,"33.7%,43.6%,17.6%,3.5%,1.6%",唐志军（杨皓宇 饰）是一家诞生于上世纪八十年代的科幻杂志——《宇宙探索》编辑部的主编。现如今的杂志社日渐式微，唐志军也终成落魄潦倒，鳏寡孤独之人。但他却依然几十年如一日的痴迷于寻找地外文明。终于有一天，他接收到了一个疑似来自宇宙深处的异常信号，于是他召集同是天涯沦落人的伙伴们，带着那一个困惑他终生的问题，再一次踏上寻找外星人的旅途。,"https://img1.doubanio.com/view/photo/sqxs/public/p2889955038.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2832892612.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2870915986.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2889955032.jpg",https://vt1.doubanio.com/202305231423/be9aa15e6b123cb8335a39713fa5974e/view/movie/M/403020540.mp4
路易斯·莱特里尔,6.4,速度与激情10,"范·迪塞尔,米歇尔·罗德里格兹,杰森·莫玛,布丽·拉尔森,查理兹·塞隆",https://movie.douban.com/subject/26631790/,2023,"动作,悬疑,惊悚,犯罪,冒险", 美国, 英语,2023-05-17,140,31099,"8.8%,26.2%,46.3%,15.3%,3.5%",在完成了无数任务，克服了各种不可能的困难之后，唐老大（范·迪塞尔 Vin Diesel 饰）和他的家族以智慧、勇气和速度过五关斩六将，打败了一路上的所有敌人。如今，他们面对的是一名危险至极的对手：这个从过往阴影中浮出水面的具有致命威胁的人物，誓要报偿血海深仇，决心破坏这个家族，彻底摧毁唐老大所热爱的一切及其至亲至爱之人。,"https://img2.doubanio.com/view/photo/sqxs/public/p2887772372.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2887772561.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2887769987.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889392717.jpg",https://vt1.doubanio.com/202305231423/cd0e24b25113623feb488d53dbe16c5a/view/movie/M/403040641.mp4
林冠慧,8.8,不良执念清除师,"曾敬骅,彭千祐,宋芸桦,杨谨华,姚淳耀",https://movie.douban.com/subject/35839999/,2023,"喜剧,奇幻", 中国台湾, 汉语普通话,2023-04-15,66,36604,"55.0%,34.6%,8.7%,1.1%,0.6%",高中生蒲一永（曾敬骅 饰）遭遇生死边缘的车祸后陷入昏迷，醒来后意外拥有超能力，原本无聊的生活从此产生翻天覆地的改变，与菜鸟女警官陈楮英（宋芸桦 饰），以及校内死对头曹光砚（彭千祐 饰）三人一同展开了一场奇幻又疯狂的打怪旅程。,"https://img1.doubanio.com/view/photo/sqxs/public/p2891081260.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2890344280.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891081258.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2885470888.jpg",https://vt1.doubanio.com/202305231423/cb98b81cc88f961c65e5540de388b68e/view/movie/M/403030537.mp4
吕赢,6.0,余生，请多指教,"杨紫,肖战,翟子路,马渝捷,李沐宸",https://movie.douban.com/subject/30403219/,2022,"剧情,爱情", 中国大陆, 汉语普通话,2022-03-15,46,203663,"9.6%,20.0%,40.3%,18.5%,11.6%",故事讲述了即将毕业的音乐系元气少女林之校（杨紫 饰），不想按照父亲的安排规划人生，希望坚持自己的音乐梦想，却突遭父亲患癌的家庭变故，与正好处在事业低谷、想要放弃外科医生事业的顾魏（肖战 饰）狭路相逢的温暖治愈系故事。,"https://img2.doubanio.com/view/photo/sqxs/public/p2572758583.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2567436997.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2567438045.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2567438034.jpg",https://vt1.doubanio.com/202305231423/38edba917b6ff73952ad457610af5b21/view/movie/M/402870538.mp4
"鞠觉亮,王海岐",5.6,长月烬明,"罗云熙,白鹿,陈都灵,邓为,孙珍妮",https://movie.douban.com/subject/35501483/,2023,"剧情,爱情,奇幻,古装", 中国大陆, 汉语普通话,2023-04-06,36,159454,"12.8%,14.9%,29.7%,23.3%,19.4%",为了解救被魔神澹台烬（罗云熙 饰）统治折磨的世界，衡阳宗掌门之女黎苏苏（白鹿 饰）孤注一掷，回到五百年前，化身叶家小女儿叶夕雾，阻止彼时尚未被邪念彻底侵蚀的景国质子澹台烬成为魔神。未料澹台烬竟是叶夕雾的丈夫，二人逐渐生出情愫，最终，黎苏苏以身证道，改变了澹台烬和世界的命运。痛失所爱后，澹台烬在幽冥川畔寻找黎苏苏的元神五百年，濒临死亡时被仙门救起，从此成为了一名仙门弟子，他改过从善，更与魂牵梦萦的黎苏苏再次相逢。就在二人破镜重圆之际，澹台烬的魔胎之躯还是惹来了非议和觊觎，三界再次陷入危险。面对残酷的命运，相爱的二人在重重误会下，终是心意相通，一人成神，一人成魔，共同扭转乾坤，阻止了灭世的危机。,"https://img1.doubanio.com/view/photo/sqxs/public/p2717365479.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2717365452.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2717365462.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2717365396.jpg",https://vt1.doubanio.com/202305231423/c0af33331f5957e1844a1287739bc58c/view/movie/M/403020783.mp4
刘晓世,6.6,长空之王,"王一博,胡军,周冬雨,于适,卜钰",https://movie.douban.com/subject/35209731/,2023,"剧情,动作", 中国大陆, 汉语普通话,2023-04-28,127,145041,"16.7%,27.9%,34.6%,10.7%,10.2%",雷宇（王一博 饰）等优秀飞行员经过严苛选拔正式成为试飞员，他们在队长张挺（胡军 饰）的带领下，参与到了最新型战机的试飞。高空之上，发动机骤停甚至失火，飞机失去控制……他们一次次与死神过招，只为获取最极限的数据。随着战机交付日期的临近，任务难度逐渐升级，他们能否凯旋……,"https://img1.doubanio.com/view/photo/sqxs/public/p2880257369.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2880257374.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2880897286.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2880897282.jpg",https://vt1.doubanio.com/202305231423/f6eab987d19f341e50fdb78ba18ea6c7/view/movie/M/403030613.mp4
程小东,4.5,诛仙1,"肖战,李沁,孟美岐,唐艺昕,刘端端",https://movie.douban.com/subject/25779217/,2019,"爱情,奇幻,古装", 中国大陆, 汉语普通话,2019-09-13,101,367850,"10.0%,8.0%,18.9%,23.7%,39.4%",草庙村被屠，少年张小凡双亲离世，被青云门大竹峰收留。机缘巧合之下，他习得佛门天音功法，又意外获得魔教法器烧火棍，踏上强者之路的同时，也让他陷入了巨大的危机。至魔法器的现世，与陆雪琪、碧瑶、田灵儿三个女生间命运的交错，都让他原本单纯的人生轨迹充满变数。一个勇者驳斥命运的传奇之旅就此展开......,"https://img2.doubanio.com/view/photo/sqxs/public/p2573911572.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2563531706.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2568839901.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2568020816.jpg",https://vt1.doubanio.com/202305231423/ec5b6724ba59f899c09e27915fc47515/view/movie/M/402520072.mp4
游达志,7.3,云襄传,"陈晓,毛晓彤,唐晓天,许龄月,刘冠麟",https://movie.douban.com/subject/35136858/,2023,"剧情,武侠,古装", 中国大陆, 汉语普通话,2023-05-01,27587490,34722,"22.1%,37.1%,28.3%,8.8%,3.8%","云台弟子云襄苦修十年步入江湖。在闯荡江湖的过程中，云襄结识了几位好友，逐渐体会到了友谊的温暖。舒亚男这位古怪精灵、聪慧机警的女子，更是让云襄产生了朦胧的情愫。意气风发的云襄和朋友们度过了一段快意恩仇的时光。可是好景不长，随着对昔日灭族惨案的深入调查，云襄挖出了更多骇人听闻的秘密，事态开始急转直下。他先后经历了欺骗、背叛与生死离别，又意识到曾以造福苍生为己任的云台早已堕落，云襄决定挺身而出,捍卫心中的正义，哪怕是牺牲自己也在所不惜。","https://img2.doubanio.com/view/photo/sqxs/public/p2753679033.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2753679113.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2868229350.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2753681714.jpg",https://vt1.doubanio.com/202305231423/4370359ae3e51e56280bd2f2d0b07bca/view/movie/M/403030736.mp4
杨振宇,6.3,斗罗大陆,"肖战,吴宣仪,辰亦儒,邱心志,钟镇涛",https://movie.douban.com/subject/30313969/,2021,古装, 中国大陆, 汉语普通话,2021-02-05,34,547212,"31.0%,18.0%,15.1%,7.7%,28.1%",万中无一的天才少年唐三与酗酒的铁匠父亲唐昊相依为命，唐三渴望母爱，但唐昊始终对妻子之事守口如瓶。直到唐三的双生武魂觉醒，父亲才告诉他只有成为斗罗大陆的至强至勇，拥有强大的实力和内心，才有资格承受母亲的消息。,"https://img9.doubanio.com/view/photo/sqxs/public/p2632443954.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2632443956.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2632446662.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2632443955.jpg",https://vt1.doubanio.com/202305231423/37549b2e1df2dacb8305dad249f9da2e/view/movie/M/402710656.mp4
程耳,6.6,无名,"梁朝伟,王一博,周迅,黄磊,森博之",https://movie.douban.com/subject/35372742/,2023,"剧情,悬疑,历史", 中国大陆," 汉语普通话 , 沪语 , 粤语 , 日语",2023-01-22,128,336932,"14.2%,28.2%,37.4%,13.5%,6.6%",影片通过对上世纪二十年代开始奋斗在上海的中国共产党领导下的中共特科，在隐蔽战线与各方势力殊死较量过程的再现，表现了在走向胜利过程中不可或缺的党的秘密战线上那些无名英雄，他们不可取代的贡献。全面抗战爆发后，中国共产党领导的中共特科在上海周旋于重庆、汪伪、日本间谍机构之间，通过错综复杂的敌后情报系统，策反敌人，获取情报，诛杀汉奸，建立更广泛的统一战线，直至抗战胜利的前夜…...,"https://img2.doubanio.com/view/photo/sqxs/public/p2886500733.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886500734.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886144886.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2886144889.jpg",https://vt1.doubanio.com/202305231423/9f133df676fcc93617d44ed2e97d5826/view/movie/M/403000020.mp4
郭帆,8.3,流浪地球2,"吴京,刘德华,李雪健,沙溢,宁理",https://movie.douban.com/subject/35267208/,2023,"科幻,冒险,灾难", 中国大陆," 汉语普通话 , 俄语 , 英语 , 印地语 , 法语",2023-01-22,173,500877,"44.4%,34.1%,16.2%,3.7%,1.6%",太阳即将毁灭，人类在地球表面建造出巨大的推进器，寻找新的家园。然而宇宙之路危机四伏，为了拯救地球，流浪地球时代的年轻人再次挺身而出，展开争分夺秒的生死之战。,"https://img2.doubanio.com/view/photo/sqxs/public/p2886492513.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2886492518.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886547585.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2886492517.jpg",https://vt1.doubanio.com/202305231423/69418d720a9921f478214288ac327513/view/movie/M/402990927.mp4
"郑伟文,陈家霖",7.7,陈情令,"肖战,王一博,孟子义,宣璐,于斌",https://movie.douban.com/subject/27195020/,2019,"剧情,古装", 中国大陆, 汉语普通话,2019-06-27,55,859050,"44.8%,25.8%,11.9%,3.8%,13.6%",十六年前，天下五分，姑苏蓝氏，云梦江氏，清河聂氏，岐山温氏，兰陵金氏共治天下。温氏一家独大，其余四家均受其苦。众家青年中，江氏故人之子魏无羡性格开朗，和以雅正闻名的姑苏蓝氏弟子蓝忘机相识并引为知己。一次偶然的机会，二人发现了蓝氏一直以来守护的秘密，二人继承遗志，为苍生消除隐患。但没想到一切的幕后黑手正是温氏家主温若寒。众家不堪其辱，合力讨伐温氏。温氏覆灭后，魏无羡却为保护温氏无辜之人不惜与众家对立，最终被奸人所害酿成大祸，误害师姐江厌离，自己也不知所踪。十六年后，消失已久的魏无羡出现在莫家庄，偶遇故人蓝忘机。莫家庄一桩桩诡异的凶案显得扑朔迷离。随着真相一步步揭开，身处幕后的金光瑶渐渐难以隐藏。最后金光瑶身死，蓝忘机承担起了匡扶天下的使命，而魏无羡不忘初心，最终潇洒世间。,"https://img2.doubanio.com/view/photo/sqxs/public/p2527086612.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2560920669.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2560920686.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2527086590.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2562811758.jpg",0
张艺谋,7.1,满江红,"沈腾,易烊千玺,张译,雷佳音,岳云鹏",https://movie.douban.com/subject/35766491/,2023,"剧情,喜剧,悬疑,古装", 中国大陆," 汉语普通话 , 中国手语",2023-01-22,159,388696,"17.8%,36.9%,31.5%,8.3%,5.4%",南宋绍兴年间，岳飞死后四年，秦桧率兵与金国会谈。会谈前夜，金国使者死在宰相驻地，所携密信也不翼而飞。小兵张大（沈腾 饰）与亲兵营副统领孙均（易烊千玺 饰）机缘巧合被裹挟进这巨大阴谋之中，宰相秦桧（雷佳音 饰）命两人限一个时辰之内找到凶手。伴随危机四伏的深入调查，宰相府总管何立（张译 饰）、副总管武义淳（岳云鹏 饰）、舞姬瑶琴（王佳怡 饰）等人卷入局中，案件的背后似乎隐藏着一场更大的阴谋。局中有局、人心叵测，一夜之间风云变幻，各方势力暗流涌动……,"https://img9.doubanio.com/view/photo/sqxs/public/p2885657454.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886218405.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886437416.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2886437420.jpg",https://vt1.doubanio.com/202305231423/d8644bbe15038299f9b0c8806d896488/view/movie/M/402990748.mp4
"何澍培,程箓,曾晓禹",7.3,护心,"侯明昊,周也,王以纶,陈欣予,左叶",https://movie.douban.com/subject/35248698/,2023,"爱情,奇幻,古装", 中国大陆, 汉语普通话,2023-05-09,27148548,18605,"21.5%,39.4%,26.8%,8.1%,4.3%",本剧改编自九鹭非香同名小说《护心》，故事讲述了千年灵龙天曜（侯明昊 饰）于大婚之日被至爱之人素影抽筋剥骨，五行之力将龙身封印各处，其中散落的护心鳞意外落在先天心口残缺的玄门修仙少女雁回（周也 饰）身上，她心中因带有他的护心鳞而心怀龙血，能助他破开封印。于是天曜开始利用雁回，赤诚灵龙与鬼马痞飒少女由此展开甜虐交织的命定纠葛，二人历经种种，齐心协力寻回龙身。,"https://img9.doubanio.com/view/photo/sqxs/public/p2755445526.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2892320005.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2755445530.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2755450408.jpg",https://vt1.doubanio.com/202305231423/ca90d4ee244ca18a368f7b618f7f73c2/view/movie/M/403040123.mp4
易小星,6.3,人生路不熟,"乔杉,范丞丞,马丽,张婧仪,常远",https://movie.douban.com/subject/35653205/,2023,"剧情,喜剧", 中国大陆, 汉语普通话,2023-04-28,100,56308,"10.0%,24.3%,44.1%,15.8%,5.8%",车队大佬周东海（乔杉 饰）和老婆霍梅梅（马丽 饰）阴差阳错地与女儿周微雨（张婧仪 饰）及女儿的男朋友万一帆（范丞丞 饰）同行自驾，踏上人生路不熟的探亲之旅，周东海决定借此机会给准女婿来一场全方位无死角的考察，万一帆也用生命演绎了什么叫做教科书级翻车。一路上先后遭遇周东海死对头“添堵专业户”贾主任（田雨 饰）的房车事故、微雨“青梅竹马”光子（常远 饰）的“野鸡”山庄醉酒闹剧、捉拿公路贼团“油耗子”的围堵大战，鸡飞狗跳的探亲之旅窘态百出，爆笑不断！,"https://img9.doubanio.com/view/photo/sqxs/public/p2889874754.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2889874752.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2889874755.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2890911552.jpg",https://vt1.doubanio.com/202305231424/72e5569fee5550e8aa517b6927d89236/view/movie/M/403030959.mp4
井上雄彦,8.9,灌篮高手,"仲村宗悟,笠间淳,木村昴,神尾晋一郎,三宅健太",https://movie.douban.com/subject/35315950/,2022,"动画,运动", 日本, 日语,2023-04-20,124,125304,"60.1%,29.5%,8.8%,1.1%,0.5%",这一天，身材高大，对篮球有着无限执着的赤木刚宪（三宅健太 配音）、从高一起就担任球队主力的超级新星流川枫（神尾晋一郎 配音）、初中时代曾获得MVP荣誉，在高中时代重新拾起了对篮球的热情的三井寿（笠间淳 配音）、身材矮小却拥有着惊人的速度和高超的运球技巧的宫城良田（仲村宗悟 配音），以及高中时代才开始接触篮球，却拥有着强大的爆发力和无限潜力的樱木花道（木村昴 配音），湘北篮球队的这五人终于站上了全国大赛的赛场，他们所要面对的，是日本最强球队山王工业。,"https://img2.doubanio.com/view/photo/sqxs/public/p2891025993.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2884650977.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2882901974.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2890297134.jpg",https://vt1.doubanio.com/202305231424/f11d823acd1df4616087df13e987afb5/view/movie/M/403030393.mp4
刘进,7.0,平凡之路,"郭麒麟,金晨,晏紫东,朱珠,张子贤",https://movie.douban.com/subject/35555996/,2023,"剧情,喜剧", 中国大陆, 汉语普通话,2023-05-03,66,14150,"17.1%,34.4%,33.5%,10.4%,4.6%",该剧讲述了以潘岩、左娜、舒一南为代表的初入职场的打工人，在行业资深前辈的带领下，于职场和生活的路上守望初心，在平凡中创造不凡的“奋逗”故事。,"https://img9.doubanio.com/view/photo/sqxs/public/p2891183284.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891182349.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891183287.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2891182331.jpg",https://vt1.doubanio.com/202305231424/03d9b26940c590c3b65977e77cb2c89a/view/movie/M/403030825.mp4
詹姆斯·古恩,8.1,银河护卫队,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀",https://movie.douban.com/subject/7065154/,2014,"动作,科幻,冒险", 美国, 英语,2014-10-10,121,120621,"29.7%,48.7%,19.4%,1.8%,0.4%",彼得·奎尔（克里斯·帕拉特 Chris Pratt 饰）是一名从小被劫持到外太空的地球人，在义父勇度（迈克尔·鲁克 Michael Rooker 饰）的培养下成了一个终极混混，自称“星爵”。一次行动中他偷了一块神秘球体，便成为了赏金猎人火箭浣熊（布莱德利·库珀  Bradley Cooper 配音）、树人格鲁特（范·迪塞尔 Vin Diesel 配音）的绑架目标，而神秘的卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）也对神秘球体势在必得。经过笑料百出的坎坷遭遇，星爵被迫和这三人，以及复仇心切的“毁灭者”德拉克斯（戴夫·巴蒂斯塔 Dave Bautista 饰）组成小分队逃避“指控者”罗南（李·佩斯 Lee Pace 饰）的追杀。然而这个神秘球体拥有无穷的力量，小分队必须团结一致对付罗南，才有可能解救整个银河系，银河护卫队由此诞生。,"https://img1.doubanio.com/view/photo/sqxs/public/p2195067508.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2195067518.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2198819082.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2327952849.jpg",https://vt1.doubanio.com/202305231424/129828ed75925ebe4a7f5e6fb1dd899d/view/movie/M/301630363.mp4
弗兰克·德拉邦特,9.7,肖申克的救赎,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,威廉姆·赛德勒,克兰西·布朗",https://movie.douban.com/subject/1292052/,1994,"剧情,犯罪", 美国, 英语,1994-09-10,142,560129,"85.9%,12.7%,1.2%,0.1%,0.1%",一场谋杀案使银行家安迪（蒂姆•罗宾斯 Tim Robbins 饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼 Morgan Freeman 饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难 之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。,"https://img2.doubanio.com/view/photo/sqxs/public/p2561714803.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p456482220.jpg",https://vt1.doubanio.com/202305231424/bab02a813b1d93e4e6b2215e152b9cce/view/movie/M/402590258.mp4
盖·里奇,7.1,盟约,"杰克·吉伦哈尔,达尔·萨利姆,肖恩·萨加尔,杰森·王,里斯·耶茨",https://movie.douban.com/subject/35722688/,2023,"动作,惊悚,战争"," 英国 , 西班牙 , 美国", 英语,2023-04-21,123,7748,"18.6%,39.2%,30.0%,4.7%,7.5%",美军中士约翰·金利（杰克·吉伦哈尔 饰）最后一次在阿富汗执行任务，和当地翻译艾哈迈德一起调查该地区。他们的部队在巡逻中遭到伏击，两人成为唯一的幸存者，在敌人的追击下，艾哈迈德冒着生命危险带着受伤的金利穿过数英里的岖崎地形到达安全地带。回到美国本土后，金利得知艾哈迈德和其家人并没有像承诺的那样获准前往美国，他决心保护这个朋友并报恩，重回战区在当地民兵到达之前救出艾哈迈德一家。,"https://img1.doubanio.com/view/photo/sqxs/public/p2887388708.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2887388707.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2891807356.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2887388705.jpg",https://vt1.doubanio.com/202305231424/c10ad486813cdfd0099d3e243e0161e2/view/movie/M/403020555.mp4
