directors,rate,title,casts,detailLink,year,types,country,lang,time,moveiTime,comment_len,starts,summary,imgList,movieUrl
徐昂,7.7,忠犬八公,"大黄,冯小刚,陈冲,白举纲,黄楚桐",https://movie.douban.com/subject/26999802/,2023,剧情, 中国大陆, 汉语普通话,2023-03-31,124,39411,"22.6%,43.9%,28.7%,3.7%,1.2%",这是一只小狗感动全球数亿人的故事。,"https://img1.doubanio.com/view/photo/sqxs/public/p2890075567.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2888698683.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2888698682.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2890100647.jpg",https://vt1.doubanio.com/202305231424/8f37215a43615cd73b166c9ec25a61df/view/movie/M/403020468.mp4
安吉镐,9.1,黑暗荣耀 第二季,"宋慧乔,李到晛,林智妍,郑成日,廉惠兰",https://movie.douban.com/subject/36193784/,2023,"剧情,悬疑", 韩国, 韩语,2023-03-10,55,135580,"62.2%,30.2%,6.6%,0.7%,0.4%",“欢迎来到我的地狱”。文东恩精心策划的复仇大计即将开始。,"https://img1.doubanio.com/view/photo/sqxs/public/p2889227549.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889065859.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2889050760.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2888847218.jpg",https://vt1.doubanio.com/202305231424/2a86df01a5038bec85f40728757e4d5e/view/movie/M/403010215.mp4
詹姆斯·古恩,8.0,银河护卫队2,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀",https://movie.douban.com/subject/25937854/,2017,"动作,科幻,冒险", 美国, 英语,2017-05-05,136,116267,"27.0%,47.1%,22.9%,2.5%,0.4%",火箭浣熊（布莱德利·库珀 Bradley Cooper 配音）偷走了大祭司阿耶莎（伊丽莎白·德比齐 Elizabeth Debicki 饰）的能量电池，包括星爵（克里斯·帕拉特 Chris Pratt 饰）、卡魔拉（佐伊·索尔达娜 Zoe Saldana 饰）、德拉克斯（戴夫·巴蒂斯塔 Dave Bautista 饰）在内的一行人遭到了后者派出的舰队的袭击。一个神秘人物乘坐着飞船救下了银河护卫队的众人，而驾驶着飞船的不是别人，竟然正是星爵的亲生父亲伊戈（库尔特·拉塞尔 Kurt Russell 饰）。,"https://img2.doubanio.com/view/photo/sqxs/public/p2457688801.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2404216059.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2458065450.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2457692094.jpg",https://vt1.doubanio.com/202305231424/63ea85e13340f3e56b8162ed0d87e30c/view/movie/M/302160536.mp4
丁英洲,7.1,你给我的喜欢,"王玉雯,王子奇,李川,马心瑞,陈鑫海",https://movie.douban.com/subject/35732451/,2023,剧情, 中国大陆, 汉语普通话,2023-04-24,27618756,12049,"17.0%,33.3%,38.8%,8.5%,2.4%",该剧改编自施定柔的同名小说，讲述了闵慧与辛旗相知相爱，却因一场误会两人不欢而散。 多年后，闵慧与辛旗重逢，两个人在职场上、生活中上演了一幕幕甜虐情深的故事。,"https://img2.doubanio.com/view/photo/sqxs/public/p2875367642.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2875367644.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891094238.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2891094149.jpg",https://vt1.doubanio.com/202305231424/c3e53ffacca75644a3df15da1cec4b6d/view/movie/M/403030469.mp4
詹姆斯·卡梅隆,9.5,泰坦尼克号,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,凯西·贝茨,弗兰西丝·费舍",https://movie.douban.com/subject/1292722/,1997,"剧情,爱情,灾难"," 美国 , 墨西哥"," 英语 , 意大利语 , 德语 , 俄语",1998-04-03,194,436090,"76.5%,20.2%,3.0%,0.2%,0.1%",1912年4月10日，号称 “世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。,"https://img1.doubanio.com/view/photo/sqxs/public/p457867960.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p457875621.jpg",https://vt1.doubanio.com/202305231424/55f9556f71f013cb281b871537e98a54/view/movie/M/403020063.mp4
黄元达,4.7,超星星学园,"肖战,王玉雯,白澍,彭楚粤,伍嘉成",https://movie.douban.com/subject/26765418/,2016,"剧情,爱情,奇幻", 中国大陆, 汉语普通话,2016-09-29,66,38766,"14.2%,8.4%,21.1%,9.2%,47.1%",统领十二星座的方氏一族是当今世界上最强大的家族，而本该继承统领之位的狮子座万适存（白澍 饰）却遭到了方太太的陷害，她派出刺客企图除掉万适存，并且大力扶持自己的儿子方天泽（肖战 饰）上位。,"https://img9.doubanio.com/view/photo/sqxs/public/p2674559225.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2674558621.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2674558313.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2823965572.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2823965234.jpg",0
"亚伦·霍瓦斯,迈克尔·杰勒尼克",8.0,超级马力欧兄弟大电影,"克里斯·帕拉特,安雅·泰勒-乔伊,查理·戴,杰克·布莱克,科甘-迈克尔·凯",https://movie.douban.com/subject/27199894/,2023,"喜剧,爱情,科幻,动画,奇幻,冒险"," 美国 , 日本", 英语,2023-04-05,92,40348,"29.5%,42.7%,24.8%,2.6%,0.3%",马力欧（克里斯·帕拉特 Chris Pratt 配音）和路易吉（查理·戴 Charlie Day 饰）是生活在布鲁克林的两名水管工，他们刚刚成立了自己的小公司，但很显然，他们的家人并不完全支持兄弟两人的这份事业。某日，在工作中，马力欧和路易吉被水管吸入到了一个光怪陆离的世界之中，两人在旅途中被迫分开，马力欧来到了由碧姬公主（安雅·泰勒-乔伊 Anya Taylor-Joy 配音）统治的蘑菇王国，而路易吉则不幸的被传送到了由酷霸王（杰克·布莱克 Jack Black 配音）统治的库巴王国。,"https://img9.doubanio.com/view/photo/sqxs/public/p2890283355.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2881470691.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2886033364.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2890283351.jpg",https://vt1.doubanio.com/202305231424/1cd94096bad242c966f2373b791ce8ab/view/movie/M/403010848.mp4
宫崎骏,9.4,千与千寻,"柊瑠美,入野自由,夏木真理,菅原文太,中村彰男",https://movie.douban.com/subject/1291561/,2001,"剧情,动画,奇幻", 日本, 日语,2019-06-21,125,410528,"73.4%,23.0%,3.3%,0.2%,0.1%",千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。,"https://img9.doubanio.com/view/photo/sqxs/public/p2512318945.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2563777035.jpg",https://vt1.doubanio.com/202305231424/3ce6c60893dae5eed5df6215194d4c5d/view/movie/M/402480761.mp4
文牧野,9.0,我不是药神,"徐峥,王传君,周一围,谭卓,章宇",https://movie.douban.com/subject/26752088/,2018,"剧情,喜剧", 中国大陆," 汉语普通话 , 英语 , 上海话 , 印地语",2018-07-05,117,536318,"58.7%,33.7%,6.9%,0.5%,0.2%",普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇 饰），几个人合伙做起了生意，利润倍增的同时也危机四伏。程勇昔日的小舅子曹警官（周一围 饰）奉命调查仿制药的源头，假药贩子张长林（王砚辉 饰）和瑞士正牌医药代表（李乃文 饰）也对其虎视眈眈，生意逐渐变成了一场关于救赎的拉锯战。,"https://img2.doubanio.com/view/photo/sqxs/public/p2527182531.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2523632239.jpg",https://vt1.doubanio.com/202305231424/e8a0dead1d3a5d7f6aaadbf2f57f2863/view/movie/M/402330315.mp4
"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",9.2,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯",https://movie.douban.com/subject/25662329/,2016,"喜剧,动画,冒险", 美国," 英语 , 挪威语",2016-03-04,109,385528,"66.2%,29.1%,4.5%,0.2%,0.1%",故事发生在一个所有哺乳类动物和谐共存的美好世界中，兔子朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）从小就梦想着能够成为一名惩恶扬善的刑警，凭借着智慧和努力，朱迪成功的从警校中毕业进入了疯狂动物城警察局，殊不知这里是大型肉食类动物的领地，作为第一只，也是唯一的小型食草类动物，朱迪会遇到怎样的故事呢？,"https://img1.doubanio.com/view/photo/sqxs/public/p2277484017.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2277484043.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2306456091.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2277484016.jpg",https://vt1.doubanio.com/202305231424/8a87b3df4483037765d2b721e5b6e24e/view/movie/M/301910795.mp4
贾玲,7.7,你好，李焕英,"贾玲,张小斐,沈腾,陈赫,刘佳",https://movie.douban.com/subject/34841067/,2021,"剧情,喜剧,奇幻", 中国大陆, 汉语普通话,2021-02-12,128,530416,"23.4%,45.0%,27.1%,3.6%,0.9%",2001年的某一天，刚刚考上大学的贾晓玲（贾玲 饰）经历了人生中的一次大起大落。一心想要成为母亲骄傲的她却因母亲突遭严重意外，而悲痛万分。在贾晓玲情绪崩溃的状态下，竟意外的回到了1981年，并与年轻的母亲李焕英（张小斐 饰）相遇，二人形影不离，宛如闺蜜。与此同时，也结识了一群天真善良的好朋友。晓玲以为来到了这片“广阔天地”，她可以凭借自己超前的思维，让母亲“大有作为”，但结果却让晓玲感到意外......,"https://img9.doubanio.com/view/photo/sqxs/public/p2631551315.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2622408445.jpg",https://vt1.doubanio.com/202305231424/4ba15ce9ee849683aab051493ccbb566/view/movie/M/402710736.mp4
"徐纪周,冯轩,陈伟雄",8.5,狂飙,"张译,张颂文,李一桐,张志坚,吴刚",https://movie.douban.com/subject/35465232/,2023,"剧情,犯罪", 中国大陆, 汉语普通话,2023-01-14,55,269193,"40.2%,45.4%,12.6%,1.3%,0.5%",京海市一线刑警安欣（张译  饰），在与黑恶势力的斗争中，不断遭到保护伞的打击，始终无法将犯罪分子绳之以法。全国政法队伍教育整顿工作开展后，临江省派出指导组入驻京海，联合公检法司各部门，清除了政法队伍内部的腐败分子，粉碎了黑恶势力的保护伞，一举铲除了盘踞京海多年的强盛集团。,"https://img1.doubanio.com/view/photo/sqxs/public/p2886992347.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2886485122.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2886485078.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2887017035.jpg",https://vt1.doubanio.com/202305231424/bb79024aad6768fa23c95878543b327f/view/movie/M/402990742.mp4
"约翰·弗朗西斯·戴利,乔纳森·戈尔茨坦",7.6,龙与地下城：侠盗荣耀,"克里斯·派恩,米歇尔·罗德里格兹,雷吉-让·佩吉,贾斯蒂斯·史密斯,索菲娅·莉莉丝",https://movie.douban.com/subject/26584673/,2023,"动作,奇幻,冒险"," 美国 , 加拿大", 英语,2023-03-31,134,42846,"15.9%,51.7%,29.8%,2.3%,0.3%",艾德金（克里斯·派恩 Chris Pine 饰）是一名吟游诗人，在一次盗宝行动中，他的贪婪导致了妻子的死亡。之后，野蛮人霍尔盖（米歇尔·罗德里格兹 Michelle Rodriguez 饰）出现在了颓废的艾德金身边，和他共同抚养女儿琪拉（克洛伊·科尔曼 Chloe Coleman 饰）。,"https://img9.doubanio.com/view/photo/sqxs/public/p2888384164.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2888435757.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2888384168.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2889602532.jpg",https://vt1.doubanio.com/202305231424/a2d24234537a7287cfd5bc55ef2c648b/view/movie/M/403010710.mp4
饺子,8.4,哪吒之魔童降世,"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮",https://movie.douban.com/subject/26794435/,2019,"剧情,喜剧,动画,奇幻", 中国大陆, 汉语普通话,2019-07-26,110,617366,"42.4%,39.1%,15.6%,2.2%,0.8%",天地灵气孕育出一颗能量巨大的混元珠，元始天尊将混元珠提炼成灵珠和魔丸，灵珠投胎为人，助周伐纣时可堪大用；而魔丸则会诞出魔王，为祸人间。元始天尊启动了天劫咒语，3年后天雷将会降临，摧毁魔丸。太乙受命将灵珠托生于陈塘关李靖家的儿子哪吒身上。然而阴差阳错，灵珠和魔丸竟然被掉包。本应是灵珠英雄的哪吒却成了混世大魔王。调皮捣蛋顽劣不堪的哪吒却徒有一颗做英雄的心。然而面对众人对魔丸的误解和即将来临的天雷的降临，哪吒是否命中注定会立地成魔？他将何去何从？,"https://img2.doubanio.com/view/photo/sqxs/public/p2563815623.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2564890907.jpg",https://vt1.doubanio.com/202305231424/0f49dff71ae48fb0cff9313e330d2c4d/view/movie/M/402500477.mp4
"李·昂克里奇,阿德里安·莫利纳",9.1,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰娜·乌巴赫,芮妮·维克托",https://movie.douban.com/subject/20495023/,2017,"喜剧,动画,音乐,奇幻", 美国," 英语 , 西班牙语",2017-11-24,105,423921,"62.2%,30.4%,6.8%,0.4%,0.2%",热爱音乐的米格尔（安东尼·冈萨雷兹 Anthony Gonzalez 配音）不幸地出生在一个视音乐为洪水猛兽的大家庭之中，一家人只盼着米格尔快快长大，好继承家里传承了数代的制鞋产业。一年一度的亡灵节即将来临，每逢这一天，去世的亲人们的魂魄便可凭借着摆在祭坛上的照片返回现世和生者团圆。,"https://img1.doubanio.com/view/photo/sqxs/public/p2504942497.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2505722998.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2505754974.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2505708957.jpg",https://vt1.doubanio.com/202305231424/59608012b7d614a4688310ba079d8798/view/movie/M/302230405.mp4
"陈玉珊,王为,曹华,孟凡",6.1,狼殿下,"王大陆,李沁,肖战,辛芷蕾,郭书瑶",https://movie.douban.com/subject/26743567/,2020,古装, 中国大陆, 汉语普通话,2020-11-19,59,199459,"27.3%,17.6%,16.2%,9.8%,29.1%",溍炀两国，正邪对立，分庭抗礼。炀王楚馗大肆征战，战火纷飞。忠义的溍王抵抗楚馗未成，退守北方，养兵蓄锐，以待攻敌之日。,"https://img1.doubanio.com/view/photo/sqxs/public/p2457787988.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2531291517.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2497576770.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2494064051.jpg",https://vt1.doubanio.com/202305231424/4cb57e02b4078d4ce7b9d2a67e7cf311/view/movie/M/402680690.mp4
郭帆,7.9,流浪地球,"吴京,屈楚萧,李光洁,吴孟达,赵今麦",https://movie.douban.com/subject/26266893/,2019,"科幻,冒险,灾难", 中国大陆," 汉语普通话 , 英语 , 俄语 , 法语 , 日语 , 韩语 , 印尼语",2019-02-05,125,716376,"34.6%,36.3%,21.6%,4.9%,2.6%",近未来，科学家们发现太阳急速衰老膨胀，短时间内包括地球在内的整个太阳系都将被太阳所吞没。为了自救，人类提出一个名为“流浪地球”的大胆计划，即倾全球之力在地球表面建造上万座发动机和转向发动机，推动地球离开太阳系，用2500年的时间奔往另外一个栖息之地。中国航天员刘培强（吴京 饰）在儿子刘启四岁那年前往国际空间站，和国际同侪肩负起领航者的重任。转眼刘启（屈楚萧 饰）长大，他带着妹妹朵朵（赵今麦 饰）偷偷跑到地表，偷开外公韩子昂（吴孟达 饰）的运输车，结果不仅遭到逮捕，还遭遇了全球发动机停摆的事件。为了修好发动机，阻止地球坠入木星，全球开始展开饱和式营救，连刘启他们的车也被强征加入。在与时间赛跑的过程中，无数的人前仆后继，奋不顾身，只为延续百代子孙生存的希望……,"https://img1.doubanio.com/view/photo/sqxs/public/p2542069917.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2546873800.jpg",https://vt1.doubanio.com/202305231424/cb36c9dd0770b5316dc7216f19154055/view/movie/M/402680986.mp4
罗伯特·泽米吉斯,9.5,阿甘正传,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯,麦凯尔泰·威廉逊,莎莉·菲尔德",https://movie.douban.com/subject/1292720/,1994,"剧情,爱情", 美国, 英语,1994-06-23,142,357711,"77.2%,19.8%,2.6%,0.2%,0.1%",阿甘（汤姆·汉克斯 饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。,"https://img2.doubanio.com/view/photo/sqxs/public/p1484731332.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p1484731424.jpg",https://vt1.doubanio.com/202305231424/8ec20b696f7e3e88fc0c75fa450e620f/view/movie/M/301600000.mp4
王晶,7.0,不止不休,"白客,苗苗,张颂文,宋洋,王奕权",https://movie.douban.com/subject/34833851/,2020,剧情, 中国大陆, 汉语普通话,2023-03-24,117,37574,"11.4%,36.7%,44.6%,6.7%,0.7%",2003年的中国，社会变革激荡，人们野心勃勃。当时互联网尚未席卷一切，纸媒为王。没钱、没学历、没背景的“三无青年”韩东（白客 饰）怀揣新闻理想与女友小竹（苗苗 饰）开始了北漂生涯，期间在知名记者黄江（张颂文 饰）的帮助下进入报社实习，在一次案件调查中，韩东发现了背后更大的真相。一边是光明的前途，一边是心中的正义，韩东在两难中选择挺身而出……,"https://img1.doubanio.com/view/photo/sqxs/public/p2888742129.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2889055676.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2618746729.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2889318413.jpg",https://vt1.doubanio.com/202305231424/b7f9a15e02c0933b29fd08a812b26b06/view/movie/M/403020193.mp4
陈凯歌,9.6,霸王别姬,"张国荣,张丰毅,巩俐,葛优,英达",https://movie.douban.com/subject/1291546/,1993,"剧情,爱情,同性"," 中国大陆 , 中国香港", 汉语普通话,1993-07-26,171,449514,"82.5%,15.3%,1.9%,0.2%,0.1%",段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。,"https://img1.doubanio.com/view/photo/sqxs/public/p1665762739.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2581065129.jpg",https://vt1.doubanio.com/202305231424/94b150784babd87a84e01bcdbe3a5cee/view/movie/M/402390810.mp4
姜秀琼,7.5,外婆的新世界,"闫妮,邓恩熙,张瑶,姚晨,王珞丹",https://movie.douban.com/subject/35390936/,2023,"喜剧,家庭", 中国大陆, 汉语普通话,2023-05-07,39,8827,"23.1%,41.1%,25.8%,8.5%,1.5%",一生沉默如大多数人般的外婆（闫妮 饰），突然不告而别、离家消失，游走于城市各地，变得不再沉默，变得特立独行，宛如城市游侠，利刃般刺入无数人的生活，揭开一个个难定黑白善恶的人生，一边改变着自己，一边也改变了许多人——包括外婆的姐姐（闫妮 饰）、女儿（张瑶 饰）、外孙女（邓恩熙 饰）的人生……,"https://img9.doubanio.com/view/photo/sqxs/public/p2688340125.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2688340119.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2688340077.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2889924915.jpg",https://vt1.doubanio.com/202305231424/3babde636cc345c73649a892880a1df4/view/movie/M/403040157.mp4
吕克·贝松,9.4,这个杀手不太冷,"让·雷诺,娜塔莉·波特曼,加里·奥德曼,丹尼·爱罗,彼得·阿佩尔",https://movie.douban.com/subject/1295644/,1994,"剧情,动作,犯罪"," 法国 , 美国"," 英语 , 意大利语 , 法语",1994-09-14,110,386495,"73.7%,22.7%,3.3%,0.2%,0.1%",里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。,"https://img1.doubanio.com/view/photo/sqxs/public/p2581177788.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p511077583.jpg",https://vt1.doubanio.com/202305231424/cf8b5350b3fb040fd25a248806c628ec/view/movie/M/402740019.mp4
傅东育,7.3,冰雨火,"陈晓,王一博,王劲松,刘奕君,赵昭仪",https://movie.douban.com/subject/34908108/,2022,"剧情,犯罪", 中国大陆, 汉语普通话,2022-08-11,37,104509,"35.4%,20.6%,26.2%,10.3%,7.4%",三年前，吴刚因涉毒被贩毒集团K所杀，其子吴振峰（陈晓 饰）因莽撞违纪被开除警籍。吴振峰心如死灰，被兄弟陈宇（王一博 饰）阻拦出境，途中二人险遭劫持，吴振峰为救陈宇被毒贩掳走，从此再无音讯，这一刻二人的命运被彻底改写。三年后，陈宇成为禁毒民警，不料吴振峰再度归来却与命案牵连。吴振峰洗刷嫌疑后，却被陈宇发觉他与贩毒集团有着千丝万缕的联系。为彻底歼灭贩毒集团，陈宇服从上级部门的安排，脱下警服开启禁毒生涯的新历程。与此同时他才得知吴振峰竟是潜伏在贩毒集团的孤胆英雄。陈宇与吴振峰先后打入贩毒集团内部，两人默契配合，并肩作战，最终在公安部署下将贩毒集团一网打尽。兄弟二人继续投身于公安禁毒事业中，不忘初心，牢记使命。,"https://img1.doubanio.com/view/photo/sqxs/public/p2617631749.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2617631733.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2617630773.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2620310640.jpg",https://vt1.doubanio.com/202305231424/cd7f55a13b0e95cc15cec7cf8b869a8c/view/movie/M/402930207.mp4
"闫非,彭大魔",7.8,夏洛特烦恼,"沈腾,马丽,尹正,艾伦,王智",https://movie.douban.com/subject/25964071/,2015,"喜剧,爱情", 中国大陆, 汉语普通话,2015-09-30,104,255553,"28.3%,42.5%,23.3%,4.2%,1.7%",在学生时代的初恋秋雅（王智 饰）的婚礼上，毕业后吃软饭靠老婆养的夏洛（沈腾 饰）假充大款，出尽其丑，中间还被老婆马冬梅（马丽 饰）戳穿暴捶。混乱之中，夏洛意外穿越时空，回到了1997年的学生时代的课堂里。他懵懵懂懂，以为是场真实感极强的梦，于是痛揍王老师，强吻秋雅，还尝试跳楼让自己醒来。当受伤的他从病床上苏醒时，他意识到自己真的穿越了时空。既然有机会重新来过，那不如好好折腾一回。他勇敢追求秋雅、奚落优等生袁华（尹正 饰）、拒绝马冬梅的死缠烂打。后来夏洛凭借“创作”朴树、窦唯等人的成名曲而进入娱乐圈。,"https://img9.doubanio.com/view/photo/sqxs/public/p2269778685.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2269778673.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2268716454.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2256588003.jpg",https://vt1.doubanio.com/202305231424/c2fe2653900e235064972be811e8b4a6/view/movie/M/301840420.mp4
吴锦源,5.6,有翡,"赵丽颖,王一博,张慧雯,陈若轩,周洁琼",https://movie.douban.com/subject/27069428/,2020,"剧情,武侠,古装", 中国大陆, 汉语普通话,2020-12-16,32,192291,"20.0%,10.9%,23.2%,21.0%,25.0%",北朝年间，各方势力割据，江湖动乱不安。“南刀”李徵（胡兵 饰）在湖湘地界建立门派四十八寨，收留落魄的武林人士，并从此避世而居。但随着李徵逝世，江湖名门也相继败落。 多年后，李徵的外孙女周翡（赵丽颖 饰）在洗墨江被一位自称谢允（王一博 饰）的青年男子意外救下，两人从此结下不解之缘。 半年后，周翡和谢允再次在霍家堡黑牢相遇，却同时遭到江湖黑暗势力“地煞山庄”几大高手的追杀，两人因此卷入一场江湖的阴谋浩劫中。 周翡受江湖前辈指点，始终磨砺自己的刀法、并凭着一股“狭路相逢勇者胜”的勇敢杀地煞、平叛乱、擒敌王、救流民；而谢允自始至终陪伴在周翡身边，为她指点进退，二人携手共进，生死不弃，一起平息了一场场江湖动乱。以周翡、谢允为代表的一辈江湖新秀们从此成长为真正的“有匪君子”，周翡也终成一代“南刀”少女宗师。,"https://img2.doubanio.com/view/photo/sqxs/public/p2572860922.jpg,https://img2.doubanio.com/view/photo/sqxs/public/p2572860912.jpg,https://img1.doubanio.com/view/photo/sqxs/public/p2579406300.jpg,https://img9.doubanio.com/view/photo/sqxs/public/p2594938434.jpg",https://vt1.doubanio.com/202305231424/ac87a08eb5e7cddee065d0d9b47b8d22/view/movie/M/402690801.mp4
